ma_truong,ten_truong,ma_nganh,ten_nganh,chi_tieu,phuong_thuc_xet_tuyen,to_hop_mon
,BKA-Đại Học Bách Khoa Hà Nội,IT-E15,An toàn không gian số - Cyber Security (CT tiên tiến),40,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,IT1,CNTT: Khoa học Máy tính,300,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,IT2,CNTT: Kỹ thuật Máy tính,200,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ME-LUH,Cơ điện tử - hợp tác với ĐH Leibniz Hannover (CHLB Đức),50,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D26; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ME-NUT,Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản),100,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D28; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ME-GU,Cơ khí Chế tạo máy - hợp tác với trường ĐH Griffith (Úc),40,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,TE-EP,Cơ khí Hàng không (CT Việt - Pháp PFIEV),40,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D29; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,TX1,Công nghệ Dệt May,240,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ED2,Công nghệ Giáo dục,120,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D01; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,IT-E7,Công nghệ Thông tin Global ICT (CT tiên tiến),160,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,IT-E6,Công nghệ Thông tin Việt - Nhật (tăng cường tiếng Nhật),160,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D28; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,IT-EP,Công nghệ Thông tin Việt - Pháp (tăng cường tiếng Pháp),40,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D29; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,MS3,Công nghệ vật liệu Polyme và Compozit,80,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),40,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D26; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EE-E18,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),60,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ET-E9,Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật),80,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D28; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,MI2,Hệ thống Thông tin quản lý,80,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,CH2,Hóa học,160,ĐGTD BK; ĐT THPT,A00; B00; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,CH-E20,Hóa học Mỹ phẩm (mới) (CT tiên tiến),40,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EM-E17,Kế toán (mới) (CT tiên tiến),80,ĐGTD BK; ĐT THPT,A01; B03; C01; C02; D01; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,IT-E10,Khoa học Dữ liệu và Trí tuệ nhân tạo (CT tiên tiến),160,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,TROY-IT,"Khoa học Máy tính - ĐH Troy (Hoa Kỳ)
(do ĐH Troy cấp bằng)",120,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D01; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,MI-E22,Khoa học tính toán cho các hệ thống thông minh (mới) (CT tiên tiến),40,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,MS-E3,Khoa học và Kỹ thuật Vật liệu (CT tiên tiến),60,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ME1,Kỹ thuật Cơ điện tử,300,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ME-E1,Kỹ thuật Cơ điện tử (CT tiên tiến),180,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ME2,Kỹ thuật Cơ khí,560,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,TE2,Kỹ thuật Cơ khí động lực,120,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EE1,Kỹ thuật điện,240,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ET1,Kỹ thuật Điện tử-Viễn thông,480,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ET-E4,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),120,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EE2,Kỹ thuật điều khiển & Tự động hóa,500,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EE-E8,Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến),140,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,TE3,Kỹ thuật Hàng không,80,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,PH2,Kỹ thuật Hạt nhân,40,ĐGTD BK; ĐT THPT,A00; A01; A02; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,CH-E11,Kỹ thuật Hóa dược (CT tiên tiến),100,ĐGTD BK; ĐT THPT,A00; B00; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,CH1,Kỹ thuật Hóa học,680,ĐGTD BK; ĐT THPT,A00; B00; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,MS5,Kỹ thuật In,60,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EV1,Kỹ thuật Môi trường,160,ĐGTD BK; ĐT THPT,A00; B00; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,HE1,Kỹ thuật Nhiệt,250,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,TE1,Kỹ thuật Ô tô,200,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,TE-E2,Kỹ thuật Ô tô (CT tiên tiến),100,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,BF1,Kỹ thuật Sinh học,160,ĐGTD BK; ĐT THPT,A00; B00; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,BF-E19,Kỹ thuật sinh học (CT tiên tiến),60,ĐGTD BK; ĐT THPT,A00; B00; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,BF2,Kỹ thuật Thực phẩm,360,ĐGTD BK; ĐT THPT,A00; B00; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),60,ĐGTD BK; ĐT THPT,A00; B00; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,MS1,Kỹ thuật Vật liệu,280,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,MS2,Kỹ thuật Vi điện tử và Công nghệ nano,180,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ET2,Kỹ thuật Y sinh,100,ĐGTD BK; ĐT THPT,A00; A01; B00; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ET-E5,Kỹ thuật Y sinh (CT tiên tiến),40,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EM-E14,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),140,ĐGTD BK; ĐT THPT,A01; B03; C01; C02; D01; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EM-E13,Phân tích Kinh doanh (CT tiên tiến),140,ĐGTD BK; ĐT THPT,A01; B03; C01; C02; D01; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EM2,Quản lý Công nghiệp,100,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D01; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ED3,Quản lý Giáo dục,60,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D01; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EM1,Quản lý Năng lượng,80,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D01; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EV2,Quản lý Tài nguyên và Môi trường,120,ĐGTD BK; ĐT THPT,A00; B00; B03; C01; C02; D07; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EM3,Quản trị Kinh doanh,120,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D01; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EM5,Tài chính-Ngân hàng,100,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D01; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ED5,Tâm lý học công nghiệp và tổ chức (mới),40,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D01; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,FL2,"Tiếng Anh chuyên nghiệp quốc tế
(do ĐHBK Hà Nội và ĐH Plymouth Marjon - Vương quốc Anh cấp bằng)",90,ĐGTD BK; ĐT THPT,B03; C01; C02; D01; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,FL1,Tiếng Anh KHKT và Công nghệ,210,ĐGTD BK; ĐT THPT,B03; C01; C02; D01; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,FL4,Tiếng Hàn KH&CN (mới),40,ĐGTD BK; ĐT THPT,B03; C01; C02; D01; DD2; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,FL3,Tiếng Trung KH&CN,80,ĐGTD BK; ĐT THPT,B03; C01; C02; D01; D04; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,EE-EP,Tin học công nghiệp và Tự động hóa (CT Việt - Pháp PFIEV),40,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; D29; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,MI1,Toán-Tin,160,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,ET-E16,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),60,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,PH1,Vật lý Kỹ thuật,200,ĐGTD BK; ĐT THPT,A00; A01; B03; C01; C02; K00; X02
,BKA-Đại Học Bách Khoa Hà Nội,PH3,Vật lý Y khoa,60,ĐGTD BK; ĐT THPT,A00; A01; A02; B03; C01; C02; K00; X02
,TCT-Đại Học Cần Thơ,7480202,An toàn thông tin,100,Học bạ; ĐT THPT,A00; A01; X06; X26
,TCT-Đại Học Cần Thơ,7320101,Báo chí,140,Học bạ; ĐT THPT,C00; D01; D14; D15
,TCT-Đại Học Cần Thơ,7620112,Bảo vệ thực vật,140,Học bạ; ĐT THPT,A00; B00; B08; X12
,TCT-Đại Học Cần Thơ,7620112C,Bảo vệ thực vật (CTCLC),40,Học bạ; ĐT THPT,A00; A01; B00; B08
,TCT-Đại Học Cần Thơ,7620302,Bệnh học thủy sản,100,Học bạ; ĐT THPT,A00; B00; B08; X12
,TCT-Đại Học Cần Thơ,7620105,Chăn nuôi,100,Học bạ; ĐT THPT,A00; A02; B00; B08
,TCT-Đại Học Cần Thơ,7310201,Chính trị học,80,Học bạ; ĐT THPT,C00; C19; D14; D15; X70
,TCT-Đại Học Cần Thơ,7540105,Công nghệ chế biến thủy sản,120,Học bạ; ĐT THPT,A00; A01; B00; X12
,TCT-Đại Học Cần Thơ,7510401,Công nghệ kỹ thuật hóa học,120,Học bạ; ĐT THPT,A00; B00; D07; X11
,TCT-Đại Học Cần Thơ,7510401C,Công nghệ kỹ thuật hóa học (CTCLC),40,Học bạ; ĐT THPT,A00; A01; D07; X27
,TCT-Đại Học Cần Thơ,7620113,Công nghệ rau hoa quả và cảnh quan,60,Học bạ; ĐT THPT,A00; B00; B08; X12
,TCT-Đại Học Cần Thơ,7540104,Công nghệ sau thu hoạch,80,Học bạ; ĐT THPT,A00; A01; B00; D07
,TCT-Đại Học Cần Thơ,7420201,Công nghệ sinh học,180,Học bạ; ĐT THPT,A00; B00; B08; D07
,TCT-Đại Học Cần Thơ,7420201T,Công nghệ sinh học (CTTT),40,Học bạ; ĐT THPT,A01; B08; D07; X28
,TCT-Đại Học Cần Thơ,7340205,Công nghệ tài chính,80,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7480201,Công nghệ thông tin,200,Học bạ; ĐT THPT,A00; A01; X06; X26
,TCT-Đại Học Cần Thơ,7480201C,Công nghệ thông tin (CTCLC),80,Học bạ; ĐT THPT,A01; D01; D07; X26
,TCT-Đại Học Cần Thơ,7480201H,Công nghệ thông tin-Hậu Giang,40,Học bạ; ĐT THPT,A00; A01; X06; X26
,TCT-Đại Học Cần Thơ,7540101,Công nghệ thực phẩm,200,Học bạ; ĐT THPT,A00; A01; B00; D07
,TCT-Đại Học Cần Thơ,7540101C,Công nghệ thực phẩm (CTCLC),80,Học bạ; ĐT THPT,A01; B08; D07; X27
,TCT-Đại Học Cần Thơ,7540106,Đảm bảo chất lượng và an toàn thực phẩm,80,Học bạ; ĐT THPT,A00; A01; B00; X12
,TCT-Đại Học Cần Thơ,7810101,Du lịch,140,Học bạ; ĐT THPT,C00; D01; D14; D15
,TCT-Đại Học Cần Thơ,7810101H,Du lịch- Hậu Giang,60,Học bạ; ĐT THPT,C00; D01; D14; D15
,TCT-Đại Học Cần Thơ,7810101S,Du lịch- Sóc Trăng,60,Học bạ; ĐT THPT,C00; D01; D14; D15
,TCT-Đại Học Cần Thơ,7140204,Giáo dục Công dân,80,Học bạ; ĐT THPT,C00; C19; D14; D15; X70
,TCT-Đại Học Cần Thơ,7140201,Giáo dục mầm non,140,Học bạ; ĐT THPT,M01; M05; M06; M11
,TCT-Đại Học Cần Thơ,7140206,Giáo dục Thể chất,80,Học bạ; ĐT THPT,T00; T01; T06; T10
,TCT-Đại Học Cần Thơ,7140202,Giáo dục Tiểu học,100,Học bạ; ĐT THPT,A00; C01; C04; D01
,TCT-Đại Học Cần Thơ,7480104,Hệ thống thông tin,100,Học bạ; ĐT THPT,A00; A01; X06; X26
,TCT-Đại Học Cần Thơ,7480104C,Hệ thống thông tin (CTCLC),80,Học bạ; ĐT THPT,A01; D01; D07; X26
,TCT-Đại Học Cần Thơ,7720203,Hóa dược,120,Học bạ; ĐT THPT,A00; B00; C02; D07
,TCT-Đại Học Cần Thơ,7440112,Hóa học,90,Học bạ; ĐT THPT,A00; B00; C02; D07
,TCT-Đại Học Cần Thơ,7340301,Kế toán,100,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7340301S,Kế toán- Sóc Trăng,40,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7620110,Khoa học cây trồng,100,Học bạ; ĐT THPT,A02; B00; B08; X12
,TCT-Đại Học Cần Thơ,7620103,Khoa học đất (Chuyên ngành Quản lý đất và Công nghệ phân bón),60,Học bạ; ĐT THPT,A00; B00; X12; X16
,TCT-Đại Học Cần Thơ,7460108,Khoa học dữ liệu,60,Học bạ; ĐT THPT,A00; A01; X06; X26
,TCT-Đại Học Cần Thơ,7480101,Khoa học máy tính,120,Học bạ; ĐT THPT,A00; A01; X06; X26
,TCT-Đại Học Cần Thơ,7440301,Khoa học môi trường,90,Học bạ; ĐT THPT,A00; A02; B00; D07
,TCT-Đại Học Cần Thơ,7340302,Kiểm toán,80,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7580101,Kiến trúc,80,Học bạ; ĐT THPT,V00; V01; V02; V03
,TCT-Đại Học Cần Thơ,7620114,Kinh doanh nông nghiệp,80,Học bạ; ĐT THPT,A00; C02; D01; X25
,TCT-Đại Học Cần Thơ,7620114H,Kinh doanh nông nghiệp-Hậu Giang,40,Học bạ; ĐT THPT,A00; C02; D01; X25
,TCT-Đại Học Cần Thơ,7340120,Kinh doanh quốc tế,120,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7340120C,Kinh doanh quốc tế (CTCLC),80,Học bạ; ĐT THPT,A01; D01; D07; X26
,TCT-Đại Học Cần Thơ,7340121,Kinh doanh thương mại,100,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7310101,Kinh tế,80,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7620115,Kinh tế nông nghiệp,80,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7620115H,Kinh tế nông nghiệp- Hậu Giang,40,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7850102,Kinh tế tài nguyên thiên nhiên,80,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7580213,Kỹ thuật cấp thoát nước,60,Học bạ; ĐT THPT,A00; A01; B08; D07
,TCT-Đại Học Cần Thơ,7520114,Kỹ thuật cơ điện tử,100,Học bạ; ĐT THPT,A00; A01; D07; X06
,TCT-Đại Học Cần Thơ,7520103,Kỹ thuật cơ khí(Cơ khí chế tạo máy),120,Học bạ; ĐT THPT,A00; A01; X06; X07
,TCT-Đại Học Cần Thơ,7520103C,Kỹ thuật cơ khí (CTCLC),40,Học bạ; ĐT THPT,A00; A01; X26; X27
,TCT-Đại Học Cần Thơ,7520201,Kỹ thuật điện,160,Học bạ; ĐT THPT,A00; A01; D07; X06
,TCT-Đại Học Cần Thơ,7520201C,Kỹ thuật điện (CTCLC),40,Học bạ; ĐT THPT,A00; A01; D07; X27
,TCT-Đại Học Cần Thơ,7520207,Kỹ thuật điện tử – viễn thông,140,Học bạ; ĐT THPT,A00; A01; X06; X07
,TCT-Đại Học Cần Thơ,7520216,Kỹ thuật điều khiển và tự động hóa,140,Học bạ; ĐT THPT,A00; A01; D07; X06
,TCT-Đại Học Cần Thơ,7520216C,Kỹ thuật điều khiển và tự động hóa (CTCLC),40,Học bạ; ĐT THPT,A00; A01; X26; X27
,TCT-Đại Học Cần Thơ,7480106,Kỹ thuật máy tính (Chuyên ngành Thiết kế vi mạch bán dẫn),160,Học bạ; ĐT THPT,A00; A01; X06; X07
,TCT-Đại Học Cần Thơ,7520320,Kỹ thuật môi trường,90,Học bạ; ĐT THPT,A00; A01; B00; D07
,TCT-Đại Học Cần Thơ,7520130,Kỹ thuật ô tô,120,Học bạ; ĐT THPT,A00; A01; X06; X07
,TCT-Đại Học Cần Thơ,7480103,Kỹ thuật phần mềm,100,Học bạ; ĐT THPT,A00; A01; X06; X26
,TCT-Đại Học Cần Thơ,7480103C,Kỹ thuật phần mềm (CTCLC),80,Học bạ; ĐT THPT,A01; D01; D07; X26
,TCT-Đại Học Cần Thơ,7520309,Kỹ thuật vật liệu,50,Học bạ; ĐT THPT,A00; B00; D07; X11
,TCT-Đại Học Cần Thơ,7580201,Kỹ thuật xây dựng,180,Học bạ; ĐT THPT,A00; A01; V00; X07
,TCT-Đại Học Cần Thơ,7580205,Kỹ thuật xây dựng công trình giao thông,120,Học bạ; ĐT THPT,A00; A01; V00; X07
,TCT-Đại Học Cần Thơ,7580202,Kỹ thuật xây dựng công trình thủy,60,Học bạ; ĐT THPT,A00; A01; V00; X07
,TCT-Đại Học Cần Thơ,7580201C,Kỹ thuật xây dựng (CTCLC),40,Học bạ; ĐT THPT,A00; A01; D07; X27
,TCT-Đại Học Cần Thơ,7520212,Kỹ thuật y sinh,80,Học bạ; ĐT THPT,A00; A01; A02; B08
,TCT-Đại Học Cần Thơ,7510605,Logistics và quản lý chuỗi cung ứng,100,Học bạ; ĐT THPT,A00; A01; D01; X27
,TCT-Đại Học Cần Thơ,7510605S,Logistics và quản lý chuỗi cung ứng- Sóc Trăng,60,Học bạ; ĐT THPT,A00; A01; D01; X27
,TCT-Đại Học Cần Thơ,7380101,Luật,260,Học bạ; ĐT THPT,C00; C01; D01; X01
,TCT-Đại Học Cần Thơ,7380103,Luật dân sự và tố tụng dân sự,180,Học bạ; ĐT THPT,C00; C01; D01; X01
,TCT-Đại Học Cần Thơ,7380101H,Luật- Hậu Giang,60,Học bạ; ĐT THPT,C00; C01; D01; X01
,TCT-Đại Học Cần Thơ,7380107,Luật kinh tế,180,Học bạ; ĐT THPT,C00; C01; D01; X01
,TCT-Đại Học Cần Thơ,7380101S,Luật- Sóc Trăng,60,Học bạ; ĐT THPT,C00; C01; D01; X01
,TCT-Đại Học Cần Thơ,7480102,Mạng máy tính và truyền thông dữ liệu,100,Học bạ; ĐT THPT,A00; A01; X06; X26
,TCT-Đại Học Cần Thơ,7480102C,Mạng máy tính và truyền thông dữ liệu (CTCLC),40,Học bạ; ĐT THPT,A01; D01; D07; X26
,TCT-Đại Học Cần Thơ,7340115,Marketing,100,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7220201,Ngôn ngữ Anh,220,Học bạ; ĐT THPT,D01; D09; D14; D15
,TCT-Đại Học Cần Thơ,7220201C,Ngôn ngữ Anh (CTCLC),120,Học bạ; ĐT THPT,D01; D09; D14; D15
,TCT-Đại Học Cần Thơ,7220201H,Ngôn ngữ Anh -Hậu Giang,60,Học bạ; ĐT THPT,D01; D09; D14; D15
,TCT-Đại Học Cần Thơ,7220203,Ngôn ngữ Pháp,80,Học bạ; ĐT THPT,D01; D03; D14; D64
,TCT-Đại Học Cần Thơ,7620109,Nông học,100,Học bạ; ĐT THPT,A00; B00; B08; X12
,TCT-Đại Học Cần Thơ,7620301,Nuôi trồng thủy sản,280,Học bạ; ĐT THPT,A00; B00; B08; X12
,TCT-Đại Học Cần Thơ,7620301T,Nuôi trồng thủy sản (CTTT),40,Học bạ; ĐT THPT,A01; B08; D07; X28
,TCT-Đại Học Cần Thơ,7510601,Quản lý công nghiệp,80,Học bạ; ĐT THPT,A00; A01; D01; X27
,TCT-Đại Học Cần Thơ,7850103,Quản lý đất đai,100,Học bạ; ĐT THPT,A00; A01; B00; D07
,TCT-Đại Học Cần Thơ,7850101,Quản lý tài nguyên và môi trường,100,Học bạ; ĐT THPT,A00; A01; B00; D07
,TCT-Đại Học Cần Thơ,7620305,Quản lý thủy sản,100,Học bạ; ĐT THPT,A00; B00; B08; X12
,TCT-Đại Học Cần Thơ,7580302,Quản lý xây dựng,60,Học bạ; ĐT THPT,A00; A01; X26; X27
,TCT-Đại Học Cần Thơ,7810103,Quản trị dịch vụ du lịch và lữ hành,100,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7810103C,Quản trị dịch vụ du lịch và lữ hành (CTCLC),40,Học bạ; ĐT THPT,A01; D01; D07; X26
,TCT-Đại Học Cần Thơ,7340101,Quản trị kinh doanh,140,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7340101C,Quản trị kinh doanh (CTCLC),80,Học bạ; ĐT THPT,A01; D01; D07; X26
,TCT-Đại Học Cần Thơ,7340101H,Quản trị kinh doanh-Hậu Giang,60,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7580105,Quy hoạch vùng và đô thị,60,Học bạ; ĐT THPT,A00; A01; B00; D07
,TCT-Đại Học Cần Thơ,7420101,Sinh học,80,Học bạ; ĐT THPT,A02; B00; B03; B08
,TCT-Đại Học Cần Thơ,7420203,Sinh học ứng dụng,80,Học bạ; ĐT THPT,A00; A01; B00; B08
,TCT-Đại Học Cần Thơ,7140219,Sư phạm Địa lý,80,Học bạ; ĐT THPT,A07; C00; C04; D15
,TCT-Đại Học Cần Thơ,7140212,Sư phạm Hóa học,80,Học bạ; ĐT THPT,A00; B00; D07; X10
,TCT-Đại Học Cần Thơ,7140247,Sư phạm Khoa học tự nhiên,70,Học bạ; ĐT THPT,A00; A01; A02; B00
,TCT-Đại Học Cần Thơ,7140218,Sư phạm Lịch sử,80,Học bạ; ĐT THPT,C00; C03; C19; D14; X70
,TCT-Đại Học Cần Thơ,7140249,Sư phạm Lịch sử - Địa lý,70,Học bạ; ĐT THPT,C00; C19; C20; D14; X70; X74
,TCT-Đại Học Cần Thơ,7140217,Sư phạm Ngữ văn,120,Học bạ; ĐT THPT,C00; D01; D14; D15
,TCT-Đại Học Cần Thơ,7140213,Sư phạm Sinh học,80,Học bạ; ĐT THPT,A02; B00; B03; B08
,TCT-Đại Học Cần Thơ,7140231,Sư phạm Tiếng Anh,120,Học bạ; ĐT THPT,D01; D14; D15; D66; X78
,TCT-Đại Học Cần Thơ,7140233,Sư phạm Tiếng Pháp,40,Học bạ; ĐT THPT,D01; D03; D14; D64
,TCT-Đại Học Cần Thơ,7140210,Sư phạm Tin học,80,Học bạ; ĐT THPT,A00; A01; D01; X26
,TCT-Đại Học Cần Thơ,7140209,Sư phạm Toán học,100,Học bạ; ĐT THPT,A00; A01; B08; D07
,TCT-Đại Học Cần Thơ,7140211,Sư phạm Vật lý,80,Học bạ; ĐT THPT,A00; A01; A02; X06
,TCT-Đại Học Cần Thơ,7340201,Tài chính – Ngân hàng,80,Học bạ; ĐT THPT,A00; A01; C02; D01
,TCT-Đại Học Cần Thơ,7340201C,Tài chính – Ngân hàng (CTCLC),40,Học bạ; ĐT THPT,A01; D01; D07; X26
,TCT-Đại Học Cần Thơ,7310403,Tâm lý học giáo dục,80,Học bạ; ĐT THPT,C00; C14; C20; D14; X01; X74
,TCT-Đại Học Cần Thơ,7460201,Thống kê,90,Học bạ; ĐT THPT,A00; A01; A02; B00
